CODIGO_CAMPANIA;NOMBRE_CAMPANIA;IDENTIFICACION;NOMBRE_CLIENTE;CAMPO1;CAMPO2;CAMPO3;CAMPO4;CAMPO5;CAMPO6;CAMPO7;CAMPO8;CAMPO9;CAMPO10;TELEFONO1;TELEFONO2;TELEFONO3;TELEFONO4;TELEFONO5;TELEFONO6
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00190396444001;INGENIERIA ELECTRICA Y ELECTRONICA ELECTROAZUAY CIA LTDA;electroazuay@hotmail.com;JURIDICO;;;;;;;;;0984912803;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00391024596001;KACAOACOSTA CIA. LTDA;comercial_acosta2017matriz@hotmail.com;JURIDICO;;;;;;;;;0958990173;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00490041028001;REPRINTER, REPRESENTACIONES INTERNACIONALES S.A. EMPRESA MULTINACIONAL ANDINA;jvarona@reprinter.com.ec;JURIDICO;;;;;;;;;0992011960;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00591725866001;COMPANIA CONSTRUCTORA CONSDECALA CIA. LTDA.;consdecala@gmail.com;JURIDICO;;;;;;;;;0987952037;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00591736957001;GRUPO.SUR CAPACITACION Y CONSULTORIA GRUPOSURCAPACITACIONES CIA. LTDA.;gruposursi@hotmail.com;JURIDICO;;;;;;;;;0998430699;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00691729923001;AGRICOLA RIVERA HEREDIA S.A. AGRORIVHERSA;priverah@hotmail.com;JURIDICO;;;;;;;;;0995889506;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00990288577001;IMPORTADORA NAVIA C LTDA;losnaviaf6@hotmail.com';JURIDICO;;;;;;;;;0996586498;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00990745307001;COSAABSA CORPORACION SAAB SA;jcsaab@saabcorp.com;JURIDICO;;;;;;;;;0999310432;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00991174567001;FRIO TECNICA FRIOTEC S.A.;friotec92@hotmail.com;JURIDICO;;;;;;;;;0979336894;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00991300163001;SOFFRITTI S.A.;hotelindira2014@hotmail.com;JURIDICO;;;;;;;;;0969306292;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00991330763001;PROINMA PRODUCTOS INTERNACIONALES DE MANTENIMIENTO CIA. LTDA.;servicioalcliente1@proinma.net;JURIDICO;;;;;;;;;0999484192;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00991362096001;PETROLI S.A.;construases@yahoo.com;JURIDICO;;;;;;;;;042589636;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00991372377001;PUNTO ELECTRICO PUNTELEC S.A.;carlosgrisales@puntelec.com;JURIDICO;;;;;;;;;0997002963;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00991422994001;MEGALATINA S.A.;labzamorano@hotmail.com;JURIDICO;;;;;;;;;0999694735;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00991431675001;RIGHTTEK TECNOLOGIA APROPIADA S.A.;vlemos@righttek.com;JURIDICO;;;;;;;;;0999617777;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00991432248001;ALFREMA S.A.; alfrema3@hotmail.com;JURIDICO;;;;;;;;;0995819515;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00992106034001;AISLAMIENTOS TERMICOS Y CONSTRUCCIONES  AISTERMCON S.A.;melm_3000@yahoo.es;JURIDICO;;;;;;;;;0999096050;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00992117192001;BANGARA S. A.;darroyo@bangara.com.ec;JURIDICO;;;;;;;;;0994896852;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00992127031001;DEREMATE S.A.;robertjin6@gmail.com;JURIDICO;;;;;;;;;0995788471;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00992140089001;INGENIERIA Y MANTENIMIENTO TOTAL INMATOSA  S.A;denisse.baux@inmatosa.com;JURIDICO;;;;;;;;;0979707932;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00992219165001;GLOBECUADOR S.A.;scillescas@globecuador.com;JURIDICO;;;;;;;;;0999898920;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00992283440001;ESTUDIO JURIDICO ROMERO D & ASOCIADOS S.A.;leonard.rom1@gmail.com;JURIDICO;;;;;;;;;0998157799;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00992311231001;OLKERSA S.A.;edisonizquierdo@hotmail.com;JURIDICO;;;;;;;;;0998472792;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00992315016001;FLAMONTI CIA. LTDA.;jibarra@flamonti.com;JURIDICO;;;;;;;;;0985389712;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00992316829001;LA MISION S.A. SEGUMISION AGENCIA ASESORA PRODUCTORA DE SEGUROS;jose.garcia@mision-seguros.com;JURIDICO;;;;;;;;;0991514041;;;;;
CS-2020-099;MENTORIAS BOX JURIDICOS KMB CS-2020-099;00992337222001;INROSES SA;giovanna@inroses.com;JURIDICO;;;;;;;;;0994174793;;;;;
